gen	nevals	Avg        	Std        	Min         	Max        
80 	84    	1.4767e+10 	3.67131e+08	1.24004e+10 	1.50232e+10
81 	77    	1.47709e+10	4.89094e+08	1.21298e+10 	1.50319e+10
82 	81    	1.48576e+10	2.7243e+08 	1.34501e+10 	1.50891e+10
83 	70    	1.48789e+10	3.56556e+08	1.33164e+10 	1.50902e+10
84 	76    	1.49196e+10	4.04428e+08	1.25415e+10 	1.52034e+10
85 	74    	1.49299e+10	5.71753e+08	1.06968e+10 	1.52684e+10
86 	78    	1.49425e+10	6.14001e+08	1.04197e+10 	1.53053e+10
87 	74    	1.50802e+10	2.6451e+08 	1.37671e+10 	1.55099e+10
88 	79    	1.51136e+10	3.0556e+08 	1.38577e+10 	1.55099e+10
89 	76    	1.5139e+10 	3.97045e+08	1.28674e+10 	1.55099e+10
90 	78    	1.51981e+10	3.7869e+08 	1.22273e+10 	1.5548e+10 
91 	79    	1.53023e+10	2.67166e+08	1.33149e+10 	1.55739e+10
92 	78    	1.53175e+10	4.70461e+08	1.18709e+10 	1.56395e+10
93 	82    	1.54695e+10	2.0347e+08 	1.40347e+10 	1.56395e+10
94 	79    	1.54869e+10	2.49858e+08	1.39146e+10 	1.56477e+10
95 	79    	1.53917e+10	5.63911e+08	1.28897e+10 	1.56656e+10
96 	62    	1.55622e+10	2.19174e+08	1.37819e+10 	1.56656e+10
97 	84    	1.5582e+10 	2.42142e+08	1.40437e+10 	1.56656e+10
98 	82    	1.55805e+10	2.59499e+08	1.40311e+10 	1.56656e+10
99 	76    	1.55476e+10	3.40926e+08	1.34994e+10 	1.5714e+10 
100	68    	1.5488e+10 	5.77712e+08	1.2745e+10  	1.56813e+10
